sample_id,patient_id,bam,demux,barcode_fasta,barcode
05_5,05_5_pool1,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_1/1_D01/hifi_reads/m84248_260605_170202_s4.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1001--univ_v3_bc1001
05_9,05_9_pool1,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_1/1_D01/hifi_reads/m84248_260605_170202_s4.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1002--univ_v3_bc1002
151_19,151_19_pool1,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_1/1_D01/hifi_reads/m84248_260605_170202_s4.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1003--univ_v3_bc1003
151_21,151_21_pool1,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_1/1_D01/hifi_reads/m84248_260605_170202_s4.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1004--univ_v3_bc1004
151_22,151_22_pool2,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_2/2_D01/hifi_reads/m84248_260605_190518_s1.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1006--univ_v3_bc1006
151_23,151_23_pool2,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_2/2_D01/hifi_reads/m84248_260605_190518_s1.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1007--univ_v3_bc1007
151_24,151_24_pool2,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_2/2_D01/hifi_reads/m84248_260605_190518_s1.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1004--univ_v3_bc1004
05_D,05_D_pool2,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pools_1_2/Pool_2/2_D01/hifi_reads/m84248_260605_190518_s1.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1009--univ_v3_bc1009
151_25,151_25_pool3,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pool_3/06-stc1682-sl195-smrtcap-pools-1-3/Pool_3/1_A01/hifi_reads/m84248_260609_155721_s2.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1006--univ_v3_bc1006
151_26,151_26_pool3,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pool_3/06-stc1682-sl195-smrtcap-pools-1-3/Pool_3/1_A01/hifi_reads/m84248_260609_155721_s2.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1007--univ_v3_bc1007
151_27,151_27_pool3,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pool_3/06-stc1682-sl195-smrtcap-pools-1-3/Pool_3/1_A01/hifi_reads/m84248_260609_155721_s2.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1008--univ_v3_bc1008
151_D,151_D_pool3,/work/c0murr09/hiv_work_2026/STC1682_SL195_Noemi_SMRTcap_Pool_3/06-stc1682-sl195-smrtcap-pools-1-3/Pool_3/1_A01/hifi_reads/m84248_260609_155721_s2.hifi_reads.bam,TRUE,/work/c0murr09/barcodes/FL_IGcapPrimers_cleaned.fasta,univ_v3_bc1010--univ_v3_bc1010
P1_JRCSF,P1,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P1.bam,FALSE,,
P2_JRCSF,P2,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P2.bam,FALSE,,
P3_JRCSF,P3,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P3.bam,FALSE,,
P4_JRCSF,P4,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P4.bam,FALSE,,
P6_JRCSF,P6,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P6.bam,FALSE,,
P7_JRCSF,P7,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P7.bam,FALSE,,
P8_JRCSF,P8,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P8.bam,FALSE,,
P9_JRCSF,P9,/work/c0murr09/hiv_work_2026/ST172-JRCSF/P9.bam,FALSE,,
